date,state,new_deaths,new_cases
2020-03-13,Alabama,,
2020-03-14,Alabama,0.0,6.0
2020-03-15,Alabama,0.0,11.0
2020-03-16,Alabama,0.0,6.0
2020-03-17,Alabama,0.0,10.0
2020-03-18,Alabama,0.0,12.0
2020-03-19,Alabama,0.0,27.0
2020-03-20,Alabama,0.0,28.0
2020-03-21,Alabama,0.0,25.0
2020-03-22,Alabama,0.0,26.0
2020-03-23,Alabama,0.0,39.0
2020-03-24,Alabama,0.0,46.0
2020-03-25,Alabama,1.0,144.0
2020-03-26,Alabama,2.0,152.0
2020-03-27,Alabama,1.0,101.0
2020-03-28,Alabama,0.0,81.0
2020-03-29,Alabama,1.0,110.0
2020-03-30,Alabama,6.0,117.0
2020-03-31,Alabama,2.0,52.0
2020-04-01,Alabama,15.0,107.0
2020-04-02,Alabama,4.0,164.0
2020-04-03,Alabama,6.0,265.0
2020-04-04,Alabama,6.0,97.0
2020-04-05,Alabama,1.0,208.0
2020-04-06,Alabama,8.0,165.0
2020-04-07,Alabama,11.0,192.0
2020-04-08,Alabama,3.0,301.0
2020-04-09,Alabama,11.0,340.0
2020-04-10,Alabama,2.0,170.0
2020-04-11,Alabama,13.0,254.0
2020-04-12,Alabama,0.0,321.0
2020-04-13,Alabama,11.0,222.0
2020-04-14,Alabama,10.0,148.0
2020-04-15,Alabama,9.0,288.0
2020-04-16,Alabama,14.0,163.0
2020-04-17,Alabama,14.0,168.0
2020-04-18,Alabama,-4.0,151.0
2020-04-19,Alabama,13.0,180.0
2020-04-20,Alabama,4.0,175.0
2020-04-21,Alabama,22.0,249.0
2020-04-22,Alabama,15.0,283.0
2020-04-23,Alabama,-4.0,222.0
2020-04-24,Alabama,12.0,194.0
2020-04-25,Alabama,4.0,187.0
2020-04-26,Alabama,6.0,208.0
2020-04-27,Alabama,9.0,118.0
2020-04-28,Alabama,14.0,211.0
2020-04-29,Alabama,20.0,175.0
2020-04-30,Alabama,10.0,143.0
2020-05-01,Alabama,17.0,226.0
2020-05-02,Alabama,-1.0,317.0
2020-05-03,Alabama,2.0,277.0
2020-05-04,Alabama,8.0,224.0
2020-05-05,Alabama,17.0,325.0
2020-05-06,Alabama,28.0,254.0
2020-05-07,Alabama,26.0,355.0
2020-05-08,Alabama,14.0,339.0
2020-05-09,Alabama,7.0,283.0
2020-05-10,Alabama,3.0,221.0
2020-05-11,Alabama,10.0,275.0
2020-05-12,Alabama,32.0,300.0
2020-05-13,Alabama,15.0,236.0
2020-05-14,Alabama,23.0,401.0
2020-05-15,Alabama,10.0,272.0
2020-05-16,Alabama,2.0,301.0
2020-05-17,Alabama,3.0,97.0
2020-05-18,Alabama,1.0,315.0
2020-05-19,Alabama,15.0,290.0
2020-05-20,Alabama,18.0,676.0
2020-05-21,Alabama,7.0,362.0
2020-05-22,Alabama,12.0,256.0
2020-05-23,Alabama,8.0,479.0
2020-05-24,Alabama,2.0,329.0
2020-05-25,Alabama,15.0,508.0
2020-03-12,Alaska,,
2020-03-13,Alaska,0.0,0.0
2020-03-14,Alaska,0.0,0.0
2020-03-15,Alaska,0.0,0.0
2020-03-16,Alaska,0.0,2.0
2020-03-17,Alaska,0.0,3.0
2020-03-18,Alaska,0.0,3.0
2020-03-19,Alaska,0.0,3.0
2020-03-20,Alaska,0.0,2.0
2020-03-21,Alaska,0.0,7.0
2020-03-22,Alaska,0.0,1.0
2020-03-23,Alaska,0.0,14.0
2020-03-24,Alaska,0.0,6.0
2020-03-25,Alaska,0.0,17.0
2020-03-26,Alaska,0.0,10.0
2020-03-27,Alaska,1.0,16.0
2020-03-28,Alaska,0.0,17.0
2020-03-29,Alaska,0.0,12.0
2020-03-30,Alaska,1.0,5.0
2020-03-31,Alaska,0.0,14.0
2020-04-01,Alaska,0.0,10.0
2020-04-02,Alaska,0.0,3.0
2020-04-03,Alaska,0.0,10.0
2020-04-04,Alaska,1.0,13.0
2020-04-05,Alaska,1.0,14.0
2020-04-06,Alaska,0.0,6.0
2020-04-07,Alaska,0.0,22.0
2020-04-08,Alaska,1.0,13.0
2020-04-09,Alaska,0.0,9.0
2020-04-10,Alaska,0.0,11.0
2020-04-11,Alaska,1.0,11.0
2020-04-12,Alaska,0.0,15.0
2020-04-13,Alaska,0.0,5.0
2020-04-14,Alaska,1.0,8.0
2020-04-15,Alaska,0.0,8.0
2020-04-16,Alaska,0.0,7.0
2020-04-17,Alaska,0.0,9.0
2020-04-18,Alaska,0.0,5.0
2020-04-19,Alaska,0.0,5.0
2020-04-20,Alaska,0.0,2.0
2020-04-21,Alaska,0.0,8.0
2020-04-22,Alaska,0.0,6.0
2020-04-23,Alaska,0.0,2.0
2020-04-24,Alaska,0.0,2.0
2020-04-25,Alaska,0.0,0.0
2020-04-26,Alaska,0.0,2.0
2020-04-27,Alaska,0.0,4.0
2020-04-28,Alaska,0.0,6.0
2020-04-29,Alaska,0.0,4.0
2020-04-30,Alaska,0.0,0.0
2020-05-01,Alaska,0.0,9.0
2020-05-02,Alaska,0.0,1.0
2020-05-03,Alaska,0.0,3.0
2020-05-04,Alaska,0.0,2.0
2020-05-05,Alaska,0.0,1.0
2020-05-06,Alaska,1.0,1.0
2020-05-07,Alaska,0.0,3.0
2020-05-08,Alaska,0.0,3.0
2020-05-09,Alaska,0.0,1.0
2020-05-10,Alaska,0.0,1.0
2020-05-11,Alaska,0.0,2.0
2020-05-12,Alaska,0.0,3.0
2020-05-13,Alaska,0.0,0.0
2020-05-14,Alaska,0.0,4.0
2020-05-15,Alaska,0.0,1.0
2020-05-16,Alaska,0.0,4.0
2020-05-17,Alaska,0.0,4.0
2020-05-18,Alaska,0.0,3.0
2020-05-19,Alaska,0.0,0.0
2020-05-20,Alaska,0.0,3.0
2020-05-21,Alaska,0.0,0.0
2020-05-22,Alaska,0.0,2.0
2020-05-23,Alaska,0.0,5.0
2020-05-24,Alaska,0.0,0.0
2020-05-25,Alaska,0.0,3.0
2020-01-26,Arizona,,
2020-01-27,Arizona,0.0,0.0
2020-01-28,Arizona,0.0,0.0
2020-01-29,Arizona,0.0,0.0
2020-01-30,Arizona,0.0,0.0
2020-01-31,Arizona,0.0,0.0
2020-02-01,Arizona,0.0,0.0
2020-02-02,Arizona,0.0,0.0
2020-02-03,Arizona,0.0,0.0
2020-02-04,Arizona,0.0,0.0
2020-02-05,Arizona,0.0,0.0
2020-02-06,Arizona,0.0,0.0
2020-02-07,Arizona,0.0,0.0
2020-02-08,Arizona,0.0,0.0
2020-02-09,Arizona,0.0,0.0
2020-02-10,Arizona,0.0,0.0
2020-02-11,Arizona,0.0,0.0
2020-02-12,Arizona,0.0,0.0
2020-02-13,Arizona,0.0,0.0
2020-02-14,Arizona,0.0,0.0
2020-02-15,Arizona,0.0,0.0
2020-02-16,Arizona,0.0,0.0
2020-02-17,Arizona,0.0,0.0
2020-02-18,Arizona,0.0,0.0
2020-02-19,Arizona,0.0,0.0
2020-02-20,Arizona,0.0,0.0
2020-02-21,Arizona,0.0,0.0
2020-02-22,Arizona,0.0,0.0
2020-02-23,Arizona,0.0,0.0
2020-02-24,Arizona,0.0,0.0
2020-02-25,Arizona,0.0,0.0
2020-02-26,Arizona,0.0,0.0
2020-02-27,Arizona,0.0,0.0
2020-02-28,Arizona,0.0,0.0
2020-02-29,Arizona,0.0,0.0
2020-03-01,Arizona,0.0,0.0
2020-03-02,Arizona,0.0,0.0
2020-03-03,Arizona,0.0,1.0
2020-03-04,Arizona,0.0,0.0
2020-03-05,Arizona,0.0,0.0
